CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-511,San Joaquin County CoC,18-24,666
2017,CA-511,San Joaquin County CoC,25-34,1282
2017,CA-511,San Joaquin County CoC,35-44,940
2017,CA-511,San Joaquin County CoC,45-54,719
2017,CA-511,San Joaquin County CoC,55-64,521
2017,CA-511,San Joaquin County CoC,65+,177
2017,CA-511,San Joaquin County CoC,Invalid,*
2017,CA-511,San Joaquin County CoC,Under 18,3531
2017,CA-511,San Joaquin County CoC,Unknown,11
2017,CA-512,San Mateo County CoC,18-24,308
2017,CA-512,San Mateo County CoC,25-34,648
2017,CA-512,San Mateo County CoC,35-44,563
2017,CA-512,San Mateo County CoC,45-54,621
2017,CA-512,San Mateo County CoC,55-64,662
2017,CA-512,San Mateo County CoC,65+,217
2017,CA-512,San Mateo County CoC,Under 18,1230
2017,CA-512,San Mateo County CoC,Unknown,11
2017,CA-513,"Kings, Tulare Counties CoC",18-24,279
2017,CA-513,"Kings, Tulare Counties CoC",25-34,573
2017,CA-513,"Kings, Tulare Counties CoC",35-44,523
2017,CA-513,"Kings, Tulare Counties CoC",45-54,416
2017,CA-513,"Kings, Tulare Counties CoC",55-64,277
2017,CA-513,"Kings, Tulare Counties CoC",65+,82
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,801
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,*
2017,CA-514,"Fresno, Madera Counties CoC",18-24,164
2017,CA-514,"Fresno, Madera Counties CoC",25-34,308
2017,CA-514,"Fresno, Madera Counties CoC",35-44,305
2017,CA-514,"Fresno, Madera Counties CoC",45-54,336
2017,CA-514,"Fresno, Madera Counties CoC",55-64,343
2017,CA-514,"Fresno, Madera Counties CoC",65+,95
2017,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,767
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
2017,CA-515,Placer County CoC,18-24,90
2017,CA-515,Placer County CoC,25-34,210
2017,CA-515,Placer County CoC,35-44,223
2017,CA-515,Placer County CoC,45-54,221
2017,CA-515,Placer County CoC,55-64,197
2017,CA-515,Placer County CoC,65+,58
2017,CA-515,Placer County CoC,Invalid,*
2017,CA-515,Placer County CoC,Under 18,268
2017,CA-515,Placer County CoC,Unknown,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,23
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,57
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,44
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,21
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,22
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,80
2017,CA-517,Napa County CoC,18-24,78
2017,CA-517,Napa County CoC,25-34,194
2017,CA-517,Napa County CoC,35-44,149
2017,CA-517,Napa County CoC,45-54,174
2017,CA-517,Napa County CoC,55-64,142
2017,CA-517,Napa County CoC,65+,29
2017,CA-517,Napa County CoC,Under 18,179
2017,CA-518,Solano County CoC,18-24,67
2017,CA-518,Solano County CoC,25-34,144
2017,CA-518,Solano County CoC,35-44,142
2017,CA-518,Solano County CoC,45-54,147
2017,CA-518,Solano County CoC,55-64,166
2017,CA-518,Solano County CoC,65+,62
2017,CA-518,Solano County CoC,Invalid,*
2017,CA-518,Solano County CoC,Under 18,225
2017,CA-518,Solano County CoC,Unknown,*
2017,CA-519,Butte County CoC,18-24,121
2017,CA-519,Butte County CoC,25-34,276
2017,CA-519,Butte County CoC,35-44,212
2017,CA-519,Butte County CoC,45-54,202
2017,CA-519,Butte County CoC,55-64,189
2017,CA-519,Butte County CoC,65+,57
2017,CA-519,Butte County CoC,Under 18,320
2017,CA-519,Butte County CoC,Unknown,*
2017,CA-520,Merced County CoC,18-24,42
2017,CA-520,Merced County CoC,25-34,83
2017,CA-520,Merced County CoC,35-44,113
2017,CA-520,Merced County CoC,45-54,132
2017,CA-520,Merced County CoC,55-64,161
2017,CA-520,Merced County CoC,65+,37
2017,CA-520,Merced County CoC,Under 18,36
2017,CA-521,Yolo County CoC,18-24,39
2017,CA-521,Yolo County CoC,25-34,109
2017,CA-521,Yolo County CoC,35-44,95
2017,CA-521,Yolo County CoC,45-54,88
2017,CA-521,Yolo County CoC,55-64,65
2017,CA-521,Yolo County CoC,65+,*
2017,CA-521,Yolo County CoC,Under 18,129
2017,CA-522,Humboldt County CoC,18-24,81
2017,CA-522,Humboldt County CoC,25-34,150
2017,CA-522,Humboldt County CoC,35-44,131
2017,CA-522,Humboldt County CoC,45-54,125
2017,CA-522,Humboldt County CoC,55-64,142
2017,CA-522,Humboldt County CoC,65+,50
2017,CA-522,Humboldt County CoC,Invalid,*
2017,CA-522,Humboldt County CoC,Under 18,325
2017,CA-522,Humboldt County CoC,Unknown,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,32
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,119
2017,CA-525,El Dorado County CoC,18-24,18
2017,CA-525,El Dorado County CoC,25-34,35
2017,CA-525,El Dorado County CoC,35-44,37
2017,CA-525,El Dorado County CoC,45-54,46
2017,CA-525,El Dorado County CoC,55-64,38
2017,CA-525,El Dorado County CoC,65+,*
2017,CA-525,El Dorado County CoC,Under 18,120
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,41
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,93
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,79
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,70
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,52
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,17
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,196
2017,CA-527,Tehama County CoC,18-24,30
2017,CA-527,Tehama County CoC,25-34,80
2017,CA-527,Tehama County CoC,35-44,69
2017,CA-527,Tehama County CoC,45-54,60
2017,CA-527,Tehama County CoC,55-64,77
2017,CA-527,Tehama County CoC,65+,22
2017,CA-527,Tehama County CoC,Under 18,55
2017,CA-527,Tehama County CoC,Unknown,*
2017,CA-529,Lake County CoC,18-24,*
2017,CA-529,Lake County CoC,25-34,*
2017,CA-529,Lake County CoC,35-44,*
2017,CA-529,Lake County CoC,45-54,*
2017,CA-529,Lake County CoC,55-64,*
2017,CA-529,Lake County CoC,65+,*
2017,CA-529,Lake County CoC,Under 18,15
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,17
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,24
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,27
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,55
2017,CA-531,Nevada County CoC,18-24,43
2017,CA-531,Nevada County CoC,25-34,75
2017,CA-531,Nevada County CoC,35-44,93
2017,CA-531,Nevada County CoC,45-54,86
2017,CA-531,Nevada County CoC,55-64,75
2017,CA-531,Nevada County CoC,65+,24
2017,CA-531,Nevada County CoC,Under 18,67
2017,CA-600,Los Angeles County CoC,18-24,5980
2017,CA-600,Los Angeles County CoC,25-34,9037
2017,CA-600,Los Angeles County CoC,35-44,7971
2017,CA-600,Los Angeles County CoC,45-54,8950
2017,CA-600,Los Angeles County CoC,55-64,7587
2017,CA-600,Los Angeles County CoC,65+,2366
2017,CA-600,Los Angeles County CoC,Invalid,29
2017,CA-600,Los Angeles County CoC,Under 18,12290
2017,CA-600,Los Angeles County CoC,Unknown,1233
2017,CA-601,San Diego County CoC,18-24,733
2017,CA-601,San Diego County CoC,25-34,1552
2017,CA-601,San Diego County CoC,35-44,1671
2017,CA-601,San Diego County CoC,45-54,2056
2017,CA-601,San Diego County CoC,55-64,2149
2017,CA-601,San Diego County CoC,65+,578
2017,CA-601,San Diego County CoC,Invalid,13
2017,CA-601,San Diego County CoC,Under 18,2815
2017,CA-601,San Diego County CoC,Unknown,22
2017,CA-602,Orange County CoC,18-24,586
2017,CA-602,Orange County CoC,25-34,1231
2017,CA-602,Orange County CoC,35-44,1183
2017,CA-602,Orange County CoC,45-54,1244
2017,CA-602,Orange County CoC,55-64,1077
2017,CA-602,Orange County CoC,65+,511
2017,CA-602,Orange County CoC,Invalid,13
2017,CA-602,Orange County CoC,Under 18,2854
2017,CA-602,Orange County CoC,Unknown,1824
2017,CA-603,Santa Barbara County CoC,18-24,186
2017,CA-603,Santa Barbara County CoC,25-34,506
2017,CA-603,Santa Barbara County CoC,35-44,448
2017,CA-603,Santa Barbara County CoC,45-54,492
2017,CA-603,Santa Barbara County CoC,55-64,467
2017,CA-603,Santa Barbara County CoC,65+,185
2017,CA-603,Santa Barbara County CoC,Invalid,*
2017,CA-603,Santa Barbara County CoC,Under 18,545
2017,CA-603,Santa Barbara County CoC,Unknown,*
2017,CA-604,Kern County CoC,18-24,369
2017,CA-604,Kern County CoC,25-34,657
2017,CA-604,Kern County CoC,35-44,527
2017,CA-604,Kern County CoC,45-54,505
2017,CA-604,Kern County CoC,55-64,343
2017,CA-604,Kern County CoC,65+,109
2017,CA-604,Kern County CoC,Invalid,*
2017,CA-604,Kern County CoC,Under 18,1753
2017,CA-604,Kern County CoC,Unknown,*
2017,CA-606,Long Beach CoC (Los Angeles County),18-24,150
2017,CA-606,Long Beach CoC (Los Angeles County),25-34,367
2017,CA-606,Long Beach CoC (Los Angeles County),35-44,306
2017,CA-606,Long Beach CoC (Los Angeles County),45-54,437
2017,CA-606,Long Beach CoC (Los Angeles County),55-64,483
2017,CA-606,Long Beach CoC (Los Angeles County),65+,169
2017,CA-606,Long Beach CoC (Los Angeles County),Invalid,*
2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,751
2017,CA-607,Pasadena CoC (Los Angeles County),18-24,96
2017,CA-607,Pasadena CoC (Los Angeles County),25-34,169
2017,CA-607,Pasadena CoC (Los Angeles County),35-44,272
2017,CA-607,Pasadena CoC (Los Angeles County),45-54,234
2017,CA-607,Pasadena CoC (Los Angeles County),55-64,198
2017,CA-607,Pasadena CoC (Los Angeles County),65+,100
2017,CA-607,Pasadena CoC (Los Angeles County),Under 18,312
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2017,CA-608,Riverside County CoC,18-24,675
2017,CA-608,Riverside County CoC,25-34,1057
2017,CA-608,Riverside County CoC,35-44,991
2017,CA-608,Riverside County CoC,45-54,1076
2017,CA-608,Riverside County CoC,55-64,843
2017,CA-608,Riverside County CoC,65+,263
2017,CA-608,Riverside County CoC,Under 18,1616
2017,CA-608,Riverside County CoC,Unknown,88
2017,CA-609,San Bernardino County CoC,18-24,614
2017,CA-609,San Bernardino County CoC,25-34,1198
2017,CA-609,San Bernardino County CoC,35-44,918
2017,CA-609,San Bernardino County CoC,45-54,698
2017,CA-609,San Bernardino County CoC,55-64,561
2017,CA-609,San Bernardino County CoC,65+,166
2017,CA-609,San Bernardino County CoC,Invalid,*
2017,CA-609,San Bernardino County CoC,Under 18,4130
2017,CA-609,San Bernardino County CoC,Unknown,*
2017,CA-611,Ventura County CoC,18-24,117
2017,CA-611,Ventura County CoC,25-34,298
2017,CA-611,Ventura County CoC,35-44,316
2017,CA-611,Ventura County CoC,45-54,336
2017,CA-611,Ventura County CoC,55-64,304
2017,CA-611,Ventura County CoC,65+,91
2017,CA-611,Ventura County CoC,Invalid,*
2017,CA-611,Ventura County CoC,Under 18,465
2017,CA-611,Ventura County CoC,Unknown,*
2017,CA-612,Glendale CoC (Los Angeles County),18-24,26
2017,CA-612,Glendale CoC (Los Angeles County),25-34,59
2017,CA-612,Glendale CoC (Los Angeles County),35-44,50
2017,CA-612,Glendale CoC (Los Angeles County),45-54,73
2017,CA-612,Glendale CoC (Los Angeles County),55-64,59
2017,CA-612,Glendale CoC (Los Angeles County),65+,27
2017,CA-612,Glendale CoC (Los Angeles County),Invalid,*
2017,CA-612,Glendale CoC (Los Angeles County),Under 18,129
2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2017,CA-613,Imperial County CoC,18-24,44
2017,CA-613,Imperial County CoC,25-34,90
2017,CA-613,Imperial County CoC,35-44,82
2017,CA-613,Imperial County CoC,45-54,80
2017,CA-613,Imperial County CoC,55-64,75
2017,CA-613,Imperial County CoC,65+,50
2017,CA-613,Imperial County CoC,Invalid,*
2017,CA-613,Imperial County CoC,Under 18,71
2017,CA-613,Imperial County CoC,Unknown,*
2017,CA-614,San Luis Obispo County CoC,18-24,131
2017,CA-614,San Luis Obispo County CoC,25-34,332
2017,CA-614,San Luis Obispo County CoC,35-44,246
2017,CA-614,San Luis Obispo County CoC,45-54,218
2017,CA-614,San Luis Obispo County CoC,55-64,201
2017,CA-614,San Luis Obispo County CoC,65+,78
2017,CA-614,San Luis Obispo County CoC,Invalid,*
2017,CA-614,San Luis Obispo County CoC,Under 18,534
2018,All,California,18-24,18781
2018,All,California,25-34,32935
2018,All,California,35-44,29853
2018,All,California,45-54,30639
2018,All,California,55-64,28008
2018,All,California,65+,9770
2018,All,California,Invalid,101
2018,All,California,Under 18,55745
2018,All,California,Unknown,6484
2018,CA-500,Santa Clara County CoC,18-24,810
2018,CA-500,Santa Clara County CoC,25-34,1490
2018,CA-500,Santa Clara County CoC,35-44,1447
2018,CA-500,Santa Clara County CoC,45-54,1568
2018,CA-500,Santa Clara County CoC,55-64,1528
2018,CA-500,Santa Clara County CoC,65+,521
2018,CA-500,Santa Clara County CoC,Under 18,2395
2018,CA-500,Santa Clara County CoC,Unknown,14
2018,CA-501,San Francisco CoC,18-24,706
2018,CA-501,San Francisco CoC,25-34,804
2018,CA-501,San Francisco CoC,35-44,731
2018,CA-501,San Francisco CoC,45-54,703
2018,CA-501,San Francisco CoC,55-64,600
2018,CA-501,San Francisco CoC,65+,224
2018,CA-501,San Francisco CoC,Invalid,*
2018,CA-501,San Francisco CoC,Under 18,1857
2018,CA-501,San Francisco CoC,Unknown,56
2018,CA-502,Alameda County CoC,18-24,752
2018,CA-502,Alameda County CoC,25-34,951
2018,CA-502,Alameda County CoC,35-44,817
2018,CA-502,Alameda County CoC,45-54,902
2018,CA-502,Alameda County CoC,55-64,956
2018,CA-502,Alameda County CoC,65+,378
2018,CA-502,Alameda County CoC,Invalid,*
2018,CA-502,Alameda County CoC,Under 18,1718
2018,CA-502,Alameda County CoC,Unknown,*
2018,CA-503,Sacramento County CoC,18-24,1176
2018,CA-503,Sacramento County CoC,25-34,1617
2018,CA-503,Sacramento County CoC,35-44,1543
2018,CA-503,Sacramento County CoC,45-54,1658
2018,CA-503,Sacramento County CoC,55-64,1349
2018,CA-503,Sacramento County CoC,65+,363
2018,CA-503,Sacramento County CoC,Under 18,4003
2018,CA-503,Sacramento County CoC,Unknown,*
2018,CA-504,Sonoma County CoC,18-24,264
2018,CA-504,Sonoma County CoC,25-34,420
2018,CA-504,Sonoma County CoC,35-44,452
2018,CA-504,Sonoma County CoC,45-54,457
2018,CA-504,Sonoma County CoC,55-64,446
2018,CA-504,Sonoma County CoC,65+,180
2018,CA-504,Sonoma County CoC,Under 18,705
2018,CA-504,Sonoma County CoC,Unknown,*
2018,CA-505,Contra Costa County CoC,18-24,391
2018,CA-505,Contra Costa County CoC,25-34,948
2018,CA-505,Contra Costa County CoC,35-44,884
2018,CA-505,Contra Costa County CoC,45-54,944
2018,CA-505,Contra Costa County CoC,55-64,929
2018,CA-505,Contra Costa County CoC,65+,338
2018,CA-505,Contra Costa County CoC,Under 18,1113
2018,CA-505,Contra Costa County CoC,Unknown,*
2018,CA-506,"Monterey, San Benito Counties CoC",18-24,153
2018,CA-506,"Monterey, San Benito Counties CoC",25-34,380
2018,CA-506,"Monterey, San Benito Counties CoC",35-44,347
2018,CA-506,"Monterey, San Benito Counties CoC",45-54,316
2018,CA-506,"Monterey, San Benito Counties CoC",55-64,335
2018,CA-506,"Monterey, San Benito Counties CoC",65+,138
2018,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,885
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2018,CA-507,Marin County CoC,18-24,77
2018,CA-507,Marin County CoC,25-34,232
2018,CA-507,Marin County CoC,35-44,211
2018,CA-507,Marin County CoC,45-54,248
2018,CA-507,Marin County CoC,55-64,226
2018,CA-507,Marin County CoC,65+,105
2018,CA-507,Marin County CoC,Under 18,254
2018,CA-508,Santa Cruz County CoC,18-24,101
2018,CA-508,Santa Cruz County CoC,25-34,277
2018,CA-508,Santa Cruz County CoC,35-44,281
2018,CA-508,Santa Cruz County CoC,45-54,298
2018,CA-508,Santa Cruz County CoC,55-64,303
2018,CA-508,Santa Cruz County CoC,65+,124
2018,CA-508,Santa Cruz County CoC,Under 18,467
2018,CA-508,Santa Cruz County CoC,Unknown,47
2018,CA-509,Mendocino County CoC,18-24,60
2018,CA-509,Mendocino County CoC,25-34,96
2018,CA-509,Mendocino County CoC,35-44,103
2018,CA-509,Mendocino County CoC,45-54,105
2018,CA-509,Mendocino County CoC,55-64,101
2018,CA-509,Mendocino County CoC,65+,38
2018,CA-509,Mendocino County CoC,Under 18,64
2018,CA-509,Mendocino County CoC,Unknown,21
2018,CA-510,Stanislaus County CoC,18-24,522
2018,CA-510,Stanislaus County CoC,25-34,1044
2018,CA-510,Stanislaus County CoC,35-44,916
2018,CA-510,Stanislaus County CoC,45-54,732
2018,CA-510,Stanislaus County CoC,55-64,571
2018,CA-510,Stanislaus County CoC,65+,168
2018,CA-510,Stanislaus County CoC,Under 18,2195
2018,CA-510,Stanislaus County CoC,Unknown,*
2018,CA-511,San Joaquin County CoC,18-24,789
2018,CA-511,San Joaquin County CoC,25-34,1507
2018,CA-511,San Joaquin County CoC,35-44,1114
2018,CA-511,San Joaquin County CoC,45-54,824
2018,CA-511,San Joaquin County CoC,55-64,609
2018,CA-511,San Joaquin County CoC,65+,201
2018,CA-511,San Joaquin County CoC,Invalid,*
2018,CA-511,San Joaquin County CoC,Under 18,4117
2018,CA-511,San Joaquin County CoC,Unknown,*
2018,CA-512,San Mateo County CoC,18-24,290
2018,CA-512,San Mateo County CoC,25-34,621
2018,CA-512,San Mateo County CoC,35-44,581
2018,CA-512,San Mateo County CoC,45-54,634
2018,CA-512,San Mateo County CoC,55-64,663
2018,CA-512,San Mateo County CoC,65+,271
2018,CA-512,San Mateo County CoC,Invalid,*
2018,CA-512,San Mateo County CoC,Under 18,1226
2018,CA-512,San Mateo County CoC,Unknown,*
2018,CA-513,"Kings, Tulare Counties CoC",18-24,272
2018,CA-513,"Kings, Tulare Counties CoC",25-34,533
2018,CA-513,"Kings, Tulare Counties CoC",35-44,569
2018,CA-513,"Kings, Tulare Counties CoC",45-54,419
2018,CA-513,"Kings, Tulare Counties CoC",55-64,274
2018,CA-513,"Kings, Tulare Counties CoC",65+,78
2018,CA-513,"Kings, Tulare Counties CoC",Invalid,*
2018,CA-513,"Kings, Tulare Counties CoC",Under 18,818
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,*
2018,CA-514,"Fresno, Madera Counties CoC",18-24,230
2018,CA-514,"Fresno, Madera Counties CoC",25-34,350
2018,CA-514,"Fresno, Madera Counties CoC",35-44,347
2018,CA-514,"Fresno, Madera Counties CoC",45-54,406
2018,CA-514,"Fresno, Madera Counties CoC",55-64,393
2018,CA-514,"Fresno, Madera Counties CoC",65+,116
2018,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2018,CA-514,"Fresno, Madera Counties CoC",Under 18,644
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,25
2018,CA-515,Placer County CoC,18-24,86
2018,CA-515,Placer County CoC,25-34,245
2018,CA-515,Placer County CoC,35-44,248
2018,CA-515,Placer County CoC,45-54,264
2018,CA-515,Placer County CoC,55-64,220
2018,CA-515,Placer County CoC,65+,76
2018,CA-515,Placer County CoC,Under 18,341
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,32
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,110
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,95
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,66
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,86
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,24
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,110
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,85
2018,CA-517,Napa County CoC,18-24,66
2018,CA-517,Napa County CoC,25-34,176
2018,CA-517,Napa County CoC,35-44,163
2018,CA-517,Napa County CoC,45-54,168
2018,CA-517,Napa County CoC,55-64,177
2018,CA-517,Napa County CoC,65+,37
2018,CA-517,Napa County CoC,Under 18,144
2018,CA-518,Solano County CoC,18-24,55
2018,CA-518,Solano County CoC,25-34,158
2018,CA-518,Solano County CoC,35-44,131
2018,CA-518,Solano County CoC,45-54,129
2018,CA-518,Solano County CoC,55-64,169
2018,CA-518,Solano County CoC,65+,51
