CALENDAR_YEAR,LOCATION_ID,race_ethnicity,CNT
2017,CA-511,"American Indian, Alaska Native, or Indigenous",61
2017,CA-511,Asian or Asian American,163
2017,CA-511,"Black, African American or African",2584
2017,CA-511,Hispanic/Latina/e/o,251
2017,CA-511,Native Hawaiian or Pacific Islander,66
2017,CA-511,two or more races,5367
2017,CA-511,White,1934
2017,CA-512,"American Indian, Alaska Native, or Indigenous",30
2017,CA-512,Asian or Asian American,217
2017,CA-512,"Black, African American or African",747
2017,CA-512,Hispanic/Latina/e/o,55
2017,CA-512,Native Hawaiian or Pacific Islander,355
2017,CA-512,two or more races,3174
2017,CA-512,White,1229
2017,CA-513,"American Indian, Alaska Native, or Indigenous",46
2017,CA-513,Asian or Asian American,15
2017,CA-513,"Black, African American or African",334
2017,CA-513,Hispanic/Latina/e/o,123
2017,CA-513,Native Hawaiian or Pacific Islander,NULL
2017,CA-513,two or more races,2809
2017,CA-513,White,1021
2017,CA-514,"American Indian, Alaska Native, or Indigenous",52
2017,CA-514,Asian or Asian American,28
2017,CA-514,"Black, African American or African",505
2017,CA-514,Hispanic/Latina/e/o,29
2017,CA-514,Native Hawaiian or Pacific Islander,NULL
2017,CA-514,two or more races,2124
2017,CA-514,White,629
2017,CA-515,"American Indian, Alaska Native, or Indigenous",19
2017,CA-515,Asian or Asian American,NULL
2017,CA-515,"Black, African American or African",86
2017,CA-515,Hispanic/Latina/e/o,12
2017,CA-515,Native Hawaiian or Pacific Islander,NULL
2017,CA-515,two or more races,613
2017,CA-515,White,833
2017,CA-516,"American Indian, Alaska Native, or Indigenous",13
2017,CA-516,Asian or Asian American,NULL
2017,CA-516,"Black, African American or African",NULL
2017,CA-516,Hispanic/Latina/e/o,NULL
2017,CA-516,Native Hawaiian or Pacific Islander,NULL
2017,CA-516,two or more races,76
2017,CA-516,White,145
2017,CA-517,"American Indian, Alaska Native, or Indigenous",19
2017,CA-517,Asian or Asian American,NULL
2017,CA-517,"Black, African American or African",59
2017,CA-517,Hispanic/Latina/e/o,NULL
2017,CA-517,Native Hawaiian or Pacific Islander,NULL
2017,CA-517,two or more races,642
2017,CA-517,White,514
2017,CA-518,"American Indian, Alaska Native, or Indigenous",11
2017,CA-518,Asian or Asian American,14
2017,CA-518,"Black, African American or African",362
2017,CA-518,Hispanic/Latina/e/o,NULL
2017,CA-518,Native Hawaiian or Pacific Islander,13
2017,CA-518,two or more races,468
2017,CA-518,White,254
2017,CA-519,"American Indian, Alaska Native, or Indigenous",45
2017,CA-519,Asian or Asian American,11
2017,CA-519,"Black, African American or African",70
2017,CA-519,Hispanic/Latina/e/o,NULL
2017,CA-519,Native Hawaiian or Pacific Islander,NULL
2017,CA-519,two or more races,516
2017,CA-519,White,963
2017,CA-520,"American Indian, Alaska Native, or Indigenous",NULL
2017,CA-520,Asian or Asian American,NULL
2017,CA-520,"Black, African American or African",120
2017,CA-520,Hispanic/Latina/e/o,NULL
2017,CA-520,Native Hawaiian or Pacific Islander,NULL
2017,CA-520,two or more races,390
2017,CA-520,White,263
2017,CA-521,"American Indian, Alaska Native, or Indigenous",12
2017,CA-521,Asian or Asian American,NULL
2017,CA-521,"Black, African American or African",116
2017,CA-521,Hispanic/Latina/e/o,NULL
2017,CA-521,Native Hawaiian or Pacific Islander,NULL
2017,CA-521,two or more races,325
2017,CA-521,White,222
2017,CA-522,"American Indian, Alaska Native, or Indigenous",57
2017,CA-522,Asian or Asian American,NULL
2017,CA-522,"Black, African American or African",38
2017,CA-522,Hispanic/Latina/e/o,NULL
2017,CA-522,Native Hawaiian or Pacific Islander,NULL
2017,CA-522,two or more races,473
2017,CA-522,White,625
2017,CA-523,"American Indian, Alaska Native, or Indigenous",16
2017,CA-523,"Black, African American or African",NULL
2017,CA-523,Hispanic/Latina/e/o,NULL
2017,CA-523,Native Hawaiian or Pacific Islander,NULL
2017,CA-523,two or more races,153
2017,CA-523,White,82
2017,CA-525,"American Indian, Alaska Native, or Indigenous",NULL
2017,CA-525,Asian or Asian American,NULL
2017,CA-525,"Black, African American or African",NULL
2017,CA-525,Hispanic/Latina/e/o,NULL
2017,CA-525,Native Hawaiian or Pacific Islander,NULL
2017,CA-525,two or more races,77
2017,CA-525,White,235
2017,CA-526,"American Indian, Alaska Native, or Indigenous",18
2017,CA-526,Asian or Asian American,NULL
2017,CA-526,"Black, African American or African",12
2017,CA-526,Hispanic/Latina/e/o,NULL
2017,CA-526,Native Hawaiian or Pacific Islander,NULL
2017,CA-526,two or more races,222
2017,CA-526,White,395
2017,CA-527,"American Indian, Alaska Native, or Indigenous",19
2017,CA-527,Asian or Asian American,NULL
2017,CA-527,"Black, African American or African",NULL
2017,CA-527,Hispanic/Latina/e/o,NULL
2017,CA-527,Native Hawaiian or Pacific Islander,NULL
2017,CA-527,two or more races,124
2017,CA-527,White,295
2017,CA-529,"American Indian, Alaska Native, or Indigenous",NULL
2017,CA-529,Asian or Asian American,NULL
2017,CA-529,"Black, African American or African",NULL
2017,CA-529,Hispanic/Latina/e/o,NULL
2017,CA-529,Native Hawaiian or Pacific Islander,NULL
2017,CA-529,two or more races,23
2017,CA-529,White,16
2017,CA-530,"American Indian, Alaska Native, or Indigenous",29
2017,CA-530,Asian or Asian American,NULL
2017,CA-530,"Black, African American or African",NULL
2017,CA-530,Hispanic/Latina/e/o,NULL
2017,CA-530,Native Hawaiian or Pacific Islander,NULL
2017,CA-530,two or more races,94
2017,CA-530,White,97
2017,CA-531,"American Indian, Alaska Native, or Indigenous",13
2017,CA-531,Asian or Asian American,NULL
2017,CA-531,"Black, African American or African",NULL
2017,CA-531,Hispanic/Latina/e/o,NULL
2017,CA-531,Native Hawaiian or Pacific Islander,NULL
2017,CA-531,two or more races,111
2017,CA-531,White,377
2017,CA-600,"American Indian, Alaska Native, or Indigenous",350
2017,CA-600,Asian or Asian American,592
2017,CA-600,"Black, African American or African",23536
2017,CA-600,Hispanic/Latina/e/o,1870
2017,CA-600,Native Hawaiian or Pacific Islander,284
2017,CA-600,two or more races,34971
2017,CA-600,White,9435
2017,CA-601,"American Indian, Alaska Native, or Indigenous",99
2017,CA-601,Asian or Asian American,166
2017,CA-601,"Black, African American or African",3155
2017,CA-601,Hispanic/Latina/e/o,68
2017,CA-601,Native Hawaiian or Pacific Islander,120
2017,CA-601,two or more races,7833
2017,CA-601,White,4084
2017,CA-602,"American Indian, Alaska Native, or Indigenous",83
2017,CA-602,Asian or Asian American,250
2017,CA-602,"Black, African American or African",1257
2017,CA-602,Hispanic/Latina/e/o,129
2017,CA-602,Native Hawaiian or Pacific Islander,111
2017,CA-602,two or more races,8750
2017,CA-602,White,4055
2017,CA-603,"American Indian, Alaska Native, or Indigenous",39
2017,CA-603,Asian or Asian American,21
2017,CA-603,"Black, African American or African",224
2017,CA-603,Hispanic/Latina/e/o,44
2017,CA-603,Native Hawaiian or Pacific Islander,16
2017,CA-603,two or more races,2519
2017,CA-603,White,1181
2017,CA-604,"American Indian, Alaska Native, or Indigenous",37
2017,CA-604,Asian or Asian American,NULL
2017,CA-604,"Black, African American or African",1183
2017,CA-604,Hispanic/Latina/e/o,11
2017,CA-604,Native Hawaiian or Pacific Islander,39
2017,CA-604,two or more races,3263
2017,CA-604,White,1364
2017,CA-606,"American Indian, Alaska Native, or Indigenous",16
2017,CA-606,Asian or Asian American,37
2017,CA-606,"Black, African American or African",1197
2017,CA-606,Hispanic/Latina/e/o,25
2017,CA-606,Native Hawaiian or Pacific Islander,31
2017,CA-606,two or more races,1463
2017,CA-606,White,640
2017,CA-607,"American Indian, Alaska Native, or Indigenous",NULL
2017,CA-607,Asian or Asian American,24
2017,CA-607,"Black, African American or African",447
2017,CA-607,Hispanic/Latina/e/o,31
2017,CA-607,Native Hawaiian or Pacific Islander,18
2017,CA-607,two or more races,905
2017,CA-607,White,278
2017,CA-608,"American Indian, Alaska Native, or Indigenous",65
2017,CA-608,Asian or Asian American,61
2017,CA-608,"Black, African American or African",1430
2017,CA-608,Hispanic/Latina/e/o,64
2017,CA-608,Native Hawaiian or Pacific Islander,59
2017,CA-608,two or more races,5095
2017,CA-608,White,2349
2017,CA-609,"American Indian, Alaska Native, or Indigenous",69
2017,CA-609,Asian or Asian American,41
2017,CA-609,"Black, African American or African",3535
2017,CA-609,Hispanic/Latina/e/o,42
2017,CA-609,Native Hawaiian or Pacific Islander,40
2017,CA-609,two or more races,5773
2017,CA-609,White,1706
2017,CA-611,"American Indian, Alaska Native, or Indigenous",17
2017,CA-611,Asian or Asian American,13
2017,CA-611,"Black, African American or African",119
2017,CA-611,Hispanic/Latina/e/o,25
2017,CA-611,Native Hawaiian or Pacific Islander,16
2017,CA-611,two or more races,2062
2017,CA-611,White,711
2017,CA-612,"American Indian, Alaska Native, or Indigenous",NULL
2017,CA-612,Asian or Asian American,13
2017,CA-612,"Black, African American or African",92
2017,CA-612,Hispanic/Latina/e/o,NULL
2017,CA-612,Native Hawaiian or Pacific Islander,NULL
2017,CA-612,two or more races,391
2017,CA-612,White,105
2017,CA-613,"American Indian, Alaska Native, or Indigenous",NULL
2017,CA-613,Asian or Asian American,NULL
2017,CA-613,"Black, African American or African",11
2017,CA-613,Hispanic/Latina/e/o,NULL
2017,CA-613,Native Hawaiian or Pacific Islander,NULL
2017,CA-613,two or more races,867
2017,CA-613,White,40
2017,CA-614,"American Indian, Alaska Native, or Indigenous",37
2017,CA-614,Asian or Asian American,NULL
2017,CA-614,"Black, African American or African",65
2017,CA-614,Hispanic/Latina/e/o,134
2017,CA-614,Native Hawaiian or Pacific Islander,NULL
2017,CA-614,two or more races,1007
2017,CA-614,White,949
2018,All,"American Indian, Alaska Native, or Indigenous",2180
2018,All,Asian or Asian American,3109
2018,All,"Black, African American or African",63659
2018,All,Hispanic/Latina/e/o,4964
2018,All,Native Hawaiian or Pacific Islander,2045
2018,All,two or more races,147721
2018,All,White,58931
2018,CA-500,"American Indian, Alaska Native, or Indigenous",116
2018,CA-500,Asian or Asian American,435
2018,CA-500,"Black, African American or African",1392
2018,CA-500,Hispanic/Latina/e/o,291
2018,CA-500,Native Hawaiian or Pacific Islander,158
2018,CA-500,two or more races,10224
2018,CA-500,White,2409
2018,CA-501,"American Indian, Alaska Native, or Indigenous",98
2018,CA-501,Asian or Asian American,237
2018,CA-501,"Black, African American or African",2088
2018,CA-501,Hispanic/Latina/e/o,298
2018,CA-501,Native Hawaiian or Pacific Islander,134
2018,CA-501,two or more races,3081
2018,CA-501,White,1044
2018,CA-502,"American Indian, Alaska Native, or Indigenous",80
2018,CA-502,Asian or Asian American,149
2018,CA-502,"Black, African American or African",3461
2018,CA-502,Hispanic/Latina/e/o,40
2018,CA-502,Native Hawaiian or Pacific Islander,97
2018,CA-502,two or more races,3419
2018,CA-502,White,1000
2018,CA-503,"American Indian, Alaska Native, or Indigenous",138
2018,CA-503,Asian or Asian American,109
2018,CA-503,"Black, African American or African",5033
2018,CA-503,Hispanic/Latina/e/o,66
2018,CA-503,Native Hawaiian or Pacific Islander,124
2018,CA-503,two or more races,5730
2018,CA-503,White,3480
2018,CA-504,"American Indian, Alaska Native, or Indigenous",61
2018,CA-504,Asian or Asian American,26
2018,CA-504,"Black, African American or African",200
2018,CA-504,Hispanic/Latina/e/o,34
2018,CA-504,Native Hawaiian or Pacific Islander,31
2018,CA-504,two or more races,2054
2018,CA-504,White,1601
2018,CA-505,"American Indian, Alaska Native, or Indigenous",58
2018,CA-505,Asian or Asian American,68
2018,CA-505,"Black, African American or African",2030
2018,CA-505,Hispanic/Latina/e/o,47
2018,CA-505,Native Hawaiian or Pacific Islander,94
2018,CA-505,two or more races,2543
2018,CA-505,White,1877
2018,CA-506,"American Indian, Alaska Native, or Indigenous",23
2018,CA-506,Asian or Asian American,31
2018,CA-506,"Black, African American or African",195
2018,CA-506,Hispanic/Latina/e/o,27
2018,CA-506,Native Hawaiian or Pacific Islander,34
2018,CA-506,two or more races,3278
2018,CA-506,White,626
2018,CA-507,"American Indian, Alaska Native, or Indigenous",15
2018,CA-507,Asian or Asian American,15
2018,CA-507,"Black, African American or African",285
2018,CA-507,Hispanic/Latina/e/o,35
2018,CA-507,Native Hawaiian or Pacific Islander,NULL
2018,CA-507,two or more races,567
2018,CA-507,White,679
2018,CA-508,"American Indian, Alaska Native, or Indigenous",31
2018,CA-508,Asian or Asian American,15
2018,CA-508,"Black, African American or African",117
2018,CA-508,Hispanic/Latina/e/o,41
2018,CA-508,Native Hawaiian or Pacific Islander,NULL
2018,CA-508,two or more races,1490
2018,CA-508,White,891
2018,CA-509,"American Indian, Alaska Native, or Indigenous",29
2018,CA-509,Asian or Asian American,NULL
2018,CA-509,"Black, African American or African",22
2018,CA-509,Hispanic/Latina/e/o,11
2018,CA-509,Native Hawaiian or Pacific Islander,NULL
2018,CA-509,two or more races,183
2018,CA-509,White,400
2018,CA-510,"American Indian, Alaska Native, or Indigenous",67
2018,CA-510,Asian or Asian American,72
2018,CA-510,"Black, African American or African",632
2018,CA-510,Hispanic/Latina/e/o,117
2018,CA-510,Native Hawaiian or Pacific Islander,54
2018,CA-510,two or more races,5836
2018,CA-510,White,2384
2018,CA-511,"American Indian, Alaska Native, or Indigenous",73
2018,CA-511,Asian or Asian American,205
2018,CA-511,"Black, African American or African",3130
2018,CA-511,Hispanic/Latina/e/o,216
2018,CA-511,Native Hawaiian or Pacific Islander,104
2018,CA-511,two or more races,6187
2018,CA-511,White,2397
2018,CA-512,"American Indian, Alaska Native, or Indigenous",32
2018,CA-512,Asian or Asian American,213
2018,CA-512,"Black, African American or African",724
2018,CA-512,Hispanic/Latina/e/o,70
2018,CA-512,Native Hawaiian or Pacific Islander,327
2018,CA-512,two or more races,3211
2018,CA-512,White,1305
2018,CA-513,"American Indian, Alaska Native, or Indigenous",49
2018,CA-513,Asian or Asian American,26
2018,CA-513,"Black, African American or African",341
2018,CA-513,Hispanic/Latina/e/o,106
2018,CA-513,Native Hawaiian or Pacific Islander,12
2018,CA-513,two or more races,2918
2018,CA-513,White,967
2018,CA-514,"American Indian, Alaska Native, or Indigenous",60
2018,CA-514,Asian or Asian American,54
2018,CA-514,"Black, African American or African",532
2018,CA-514,Hispanic/Latina/e/o,29
2018,CA-514,Native Hawaiian or Pacific Islander,NULL
2018,CA-514,two or more races,2159
2018,CA-514,White,706
2018,CA-515,"American Indian, Alaska Native, or Indigenous",23
2018,CA-515,Asian or Asian American,14
2018,CA-515,"Black, African American or African",102
2018,CA-515,Hispanic/Latina/e/o,15
2018,CA-515,Native Hawaiian or Pacific Islander,NULL
2018,CA-515,two or more races,852
2018,CA-515,White,897
2018,CA-516,"American Indian, Alaska Native, or Indigenous",12
2018,CA-516,Asian or Asian American,NULL
2018,CA-516,"Black, African American or African",21
2018,CA-516,Hispanic/Latina/e/o,NULL
2018,CA-516,Native Hawaiian or Pacific Islander,NULL
2018,CA-516,two or more races,128
2018,CA-516,White,416
2018,CA-517,"American Indian, Alaska Native, or Indigenous",16
2018,CA-517,Asian or Asian American,NULL
2018,CA-517,"Black, African American or African",38
2018,CA-517,Hispanic/Latina/e/o,NULL
2018,CA-517,Native Hawaiian or Pacific Islander,NULL
2018,CA-517,two or more races,673
2018,CA-517,White,510
2018,CA-518,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-518,Asian or Asian American,NULL
2018,CA-518,"Black, African American or African",345
2018,CA-518,Hispanic/Latina/e/o,35
2018,CA-518,Native Hawaiian or Pacific Islander,11
2018,CA-518,two or more races,419
2018,CA-518,White,269
2018,CA-519,"American Indian, Alaska Native, or Indigenous",43
2018,CA-519,Asian or Asian American,NULL
2018,CA-519,"Black, African American or African",109
2018,CA-519,Hispanic/Latina/e/o,NULL
2018,CA-519,Native Hawaiian or Pacific Islander,NULL
2018,CA-519,two or more races,538
2018,CA-519,White,1031
2018,CA-520,"American Indian, Alaska Native, or Indigenous",15
2018,CA-520,Asian or Asian American,NULL
2018,CA-520,"Black, African American or African",182
2018,CA-520,Hispanic/Latina/e/o,NULL
2018,CA-520,Native Hawaiian or Pacific Islander,NULL
2018,CA-520,two or more races,620
2018,CA-520,White,382
2018,CA-521,"American Indian, Alaska Native, or Indigenous",15
2018,CA-521,Asian or Asian American,NULL
2018,CA-521,"Black, African American or African",188
2018,CA-521,Hispanic/Latina/e/o,13
2018,CA-521,Native Hawaiian or Pacific Islander,NULL
2018,CA-521,two or more races,733
2018,CA-521,White,368
2018,CA-522,"American Indian, Alaska Native, or Indigenous",67
2018,CA-522,Asian or Asian American,NULL
2018,CA-522,"Black, African American or African",48
2018,CA-522,Hispanic/Latina/e/o,20
2018,CA-522,Native Hawaiian or Pacific Islander,NULL
2018,CA-522,two or more races,491
2018,CA-522,White,633
2018,CA-523,"American Indian, Alaska Native, or Indigenous",27
2018,CA-523,Asian or Asian American,NULL
2018,CA-523,"Black, African American or African",NULL
2018,CA-523,Hispanic/Latina/e/o,11
2018,CA-523,Native Hawaiian or Pacific Islander,NULL
2018,CA-523,two or more races,259
2018,CA-523,White,155
2018,CA-524,two or more races,NULL
2018,CA-524,White,NULL
2018,CA-525,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-525,Asian or Asian American,NULL
2018,CA-525,"Black, African American or African",17
2018,CA-525,Hispanic/Latina/e/o,13
2018,CA-525,Native Hawaiian or Pacific Islander,NULL
2018,CA-525,two or more races,111
2018,CA-525,White,292
2018,CA-526,"American Indian, Alaska Native, or Indigenous",19
2018,CA-526,Asian or Asian American,NULL
2018,CA-526,"Black, African American or African",27
2018,CA-526,Hispanic/Latina/e/o,NULL
2018,CA-526,Native Hawaiian or Pacific Islander,NULL
2018,CA-526,two or more races,296
2018,CA-526,White,494
2018,CA-527,"American Indian, Alaska Native, or Indigenous",24
2018,CA-527,Asian or Asian American,NULL
2018,CA-527,"Black, African American or African",NULL
2018,CA-527,Hispanic/Latina/e/o,NULL
2018,CA-527,Native Hawaiian or Pacific Islander,NULL
2018,CA-527,two or more races,170
2018,CA-527,White,289
2018,CA-529,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-529,"Black, African American or African",NULL
2018,CA-529,Hispanic/Latina/e/o,NULL
2018,CA-529,two or more races,43
2018,CA-529,White,35
2018,CA-530,"American Indian, Alaska Native, or Indigenous",35
2018,CA-530,Asian or Asian American,NULL
2018,CA-530,"Black, African American or African",NULL
2018,CA-530,Hispanic/Latina/e/o,NULL
2018,CA-530,Native Hawaiian or Pacific Islander,NULL
2018,CA-530,two or more races,110
2018,CA-530,White,107
2018,CA-531,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-531,Asian or Asian American,NULL
2018,CA-531,"Black, African American or African",NULL
2018,CA-531,Hispanic/Latina/e/o,NULL
2018,CA-531,Native Hawaiian or Pacific Islander,NULL
2018,CA-531,two or more races,170
2018,CA-531,White,432
2018,CA-600,"American Indian, Alaska Native, or Indigenous",481
2018,CA-600,Asian or Asian American,773
2018,CA-600,"Black, African American or African",30759
2018,CA-600,Hispanic/Latina/e/o,2637
2018,CA-600,Native Hawaiian or Pacific Islander,362
2018,CA-600,two or more races,47406
2018,CA-600,White,13399
2018,CA-601,"American Indian, Alaska Native, or Indigenous",148
2018,CA-601,Asian or Asian American,204
2018,CA-601,"Black, African American or African",4013
2018,CA-601,Hispanic/Latina/e/o,108
2018,CA-601,Native Hawaiian or Pacific Islander,138
2018,CA-601,two or more races,10406
2018,CA-601,White,5329
2018,CA-602,"American Indian, Alaska Native, or Indigenous",87
2018,CA-602,Asian or Asian American,262
2018,CA-602,"Black, African American or African",1469
2018,CA-602,Hispanic/Latina/e/o,377
2018,CA-602,Native Hawaiian or Pacific Islander,132
2018,CA-602,two or more races,10028
2018,CA-602,White,4663
2018,CA-603,"American Indian, Alaska Native, or Indigenous",40
2018,CA-603,Asian or Asian American,14
2018,CA-603,"Black, African American or African",178
2018,CA-603,Hispanic/Latina/e/o,31
2018,CA-603,Native Hawaiian or Pacific Islander,NULL
2018,CA-603,two or more races,2328
2018,CA-603,White,1084
2018,CA-604,"American Indian, Alaska Native, or Indigenous",41
2018,CA-604,Asian or Asian American,NULL
2018,CA-604,"Black, African American or African",1197
2018,CA-604,Hispanic/Latina/e/o,21
2018,CA-604,Native Hawaiian or Pacific Islander,27
2018,CA-604,two or more races,3170
2018,CA-604,White,1506
2018,CA-606,"American Indian, Alaska Native, or Indigenous",21
2018,CA-606,Asian or Asian American,59
2018,CA-606,"Black, African American or African",1231
2018,CA-606,Hispanic/Latina/e/o,25
2018,CA-606,Native Hawaiian or Pacific Islander,28
2018,CA-606,two or more races,1470
2018,CA-606,White,648
2018,CA-607,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-607,Asian or Asian American,37
2018,CA-607,"Black, African American or African",490
2018,CA-607,Hispanic/Latina/e/o,55
2018,CA-607,Native Hawaiian or Pacific Islander,28
2018,CA-607,two or more races,1287
2018,CA-607,White,335
2018,CA-608,"American Indian, Alaska Native, or Indigenous",83
2018,CA-608,Asian or Asian American,62
2018,CA-608,"Black, African American or African",1584
2018,CA-608,Hispanic/Latina/e/o,72
2018,CA-608,Native Hawaiian or Pacific Islander,41
2018,CA-608,two or more races,5697
2018,CA-608,White,2442
2018,CA-609,"American Indian, Alaska Native, or Indigenous",44
2018,CA-609,Asian or Asian American,50
2018,CA-609,"Black, African American or African",3008
2018,CA-609,Hispanic/Latina/e/o,31
2018,CA-609,Native Hawaiian or Pacific Islander,52
2018,CA-609,two or more races,5655
2018,CA-609,White,1441
2018,CA-611,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-611,Asian or Asian American,14
2018,CA-611,"Black, African American or African",113
2018,CA-611,Hispanic/Latina/e/o,18
2018,CA-611,Native Hawaiian or Pacific Islander,12
2018,CA-611,two or more races,1864
2018,CA-611,White,644
2018,CA-612,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-612,Asian or Asian American,NULL
2018,CA-612,"Black, African American or African",111
2018,CA-612,Hispanic/Latina/e/o,NULL
2018,CA-612,Native Hawaiian or Pacific Islander,NULL
2018,CA-612,two or more races,500
2018,CA-612,White,121
2018,CA-613,"American Indian, Alaska Native, or Indigenous",NULL
2018,CA-613,"Black, African American or African",33
2018,CA-613,Hispanic/Latina/e/o,11
2018,CA-613,Native Hawaiian or Pacific Islander,NULL
2018,CA-613,two or more races,1499
2018,CA-613,White,55
2018,CA-614,"American Indian, Alaska Native, or Indigenous",32
2018,CA-614,Asian or Asian American,NULL
2018,CA-614,"Black, African American or African",77
2018,CA-614,Hispanic/Latina/e/o,129
2018,CA-614,Native Hawaiian or Pacific Islander,16
2018,CA-614,two or more races,1121
2018,CA-614,White,977
2019,All,"American Indian, Alaska Native, or Indigenous",2439
2019,All,Asian or Asian American,3588
2019,All,"Black, African American or African",70138
2019,All,Hispanic/Latina/e/o,6139
2019,All,Native Hawaiian or Pacific Islander,2198
2019,All,two or more races,165501
2019,All,White,66725
2019,CA-500,"American Indian, Alaska Native, or Indigenous",121
2019,CA-500,Asian or Asian American,449
2019,CA-500,"Black, African American or African",1509
2019,CA-500,Hispanic/Latina/e/o,449
2019,CA-500,Native Hawaiian or Pacific Islander,140
2019,CA-500,two or more races,10891
2019,CA-500,White,2636
2019,CA-501,"American Indian, Alaska Native, or Indigenous",141
2019,CA-501,Asian or Asian American,272
2019,CA-501,"Black, African American or African",3003
2019,CA-501,Hispanic/Latina/e/o,629
2019,CA-501,Native Hawaiian or Pacific Islander,183
2019,CA-501,two or more races,4364
2019,CA-501,White,1485
2019,CA-502,"American Indian, Alaska Native, or Indigenous",99
2019,CA-502,Asian or Asian American,173
2019,CA-502,"Black, African American or African",4061
2019,CA-502,Hispanic/Latina/e/o,60
2019,CA-502,Native Hawaiian or Pacific Islander,128
2019,CA-502,two or more races,3745
2019,CA-502,White,1163
2019,CA-503,"American Indian, Alaska Native, or Indigenous",144
2019,CA-503,Asian or Asian American,143
2019,CA-503,"Black, African American or African",5018
2019,CA-503,Hispanic/Latina/e/o,77
2019,CA-503,Native Hawaiian or Pacific Islander,126
2019,CA-503,two or more races,5565
2019,CA-503,White,3356
2019,CA-504,"American Indian, Alaska Native, or Indigenous",99
2019,CA-504,Asian or Asian American,29
2019,CA-504,"Black, African American or African",228
